Move;	Start Up;	Active;	Recovery;	Frame Advantage;	Invincibility;	Chain Cancel;	Special Cancel;	Super Cancel;	Damage;	Stun ;	Stun Timer;	Super Meter;	Throw Range;	Notes;
Harai Geri;	10;	6;	19;	-3;	;	No;	No;	No;	28[2];	5~11;	130;	;	;	;
Flying Sumo Press;	7;	∞;	;	;	;	;	;	;	24[2];	5~11;	50(+10);	;	;	;
Normal Throw;	;	;	;	;	;	;	;	;	32;	7~13;	100;	;	64,36;	;
Normal Throw, Holds;	;	;	;	;	;	;	;	;	24 + 4*n;	;	;	;	64,36;	;
LP Hundred Hand Slaps;	5;	23;	13;	;	;	;	;	;	24[1] / 22[1];	5~11;	100;	6;	;	Active frames represent one "cycle". Lower damage value is for low hitting frames;
MP Hundred Hand Slaps;	8;	11;	15;	;	;	;	;	;	26[2] / 24[2];	5~11;	100;	6;	;	Active frames represent one "cycle". Lower damage value is for low hitting frames;
HP Hundred Hand Slaps;	11;	6;	19;	;	;	;	;	;	28[3] / 26[3];	5~11;	100;	6;	;	Active frames represent one "cycle". Lower damage value is for low hitting frames;
LP Headbutt;	8;	6,22;	25/26;	;	1 to 11;	;	;	;	28 [1] / 28[2];	9~15;	100;	9;	;	Recovery can be 25/26 frames long;
MP Headbutt;	11;	2,25;	25/26;	;	1 to 11;	;	;	;	30[2] / 30[3];	9~15;	100;	9;	;	Recovery can be 25/26 frames long;
HP Headbutt;	6;	1,53;	25/26;	;	1 to 6;	;	;	;	32[3] / 32[4];	9~15;	100;	9;	;	Recovery can be 25/26 frames long;
LK Buttdrop;	21;	9,(13),10;	4;	;	1 to 21;	;	;	;	24[2];	9~15 / 2~8;	100 / 90;	9;	;	;
MK Buttdrop;	19;	9,(13),12;	5;	;	1 to 19;	;	;	;	28[2];	9~15;	100;	9;	;	;
HK Buttdrop;	42;	15;	6;	;	1 to 18;	;	;	;	32[2];	9~15;	100;	9;	;	;
LP Ooichou Nage;	;	;	;	;	;	;	;	;	16[1]+28[1];	7~13 + 7~13;	100 + 100;	12;	69,41;	;
MP Ooichou Nage;	;	;	;	;	;	;	;	;	18[1]+30[1];	7~13 + 7~13;	100 + 100;	12;	69,41;	;
HP Ooichou Nage;	;	;	;	;	;	;	;	;	20[1]+32[1];	7~13 + 7~13;	100 + 100;	12;	69,41;	;
Oni Musou;	6;	1,53,(7),1,53;	25;	;	1 to 6;	;	;	;	20[2]*4;	0~4 * 4;	0~4 * 4;	;	;	;
